District;Name;TypeObject;Longitude;Latitude;Рейтинг;Отзывы;Y;Norm Y
Тверской;Де Марко;кафе;37.5991604493297590;55.7703818904084660;4,3;159;41,59851987;60,17129295
Тверской;Прогресс;кафе;37.5991604493297590;55.7703818904084660;4,4;56;37,97429626;52,3811836
Тверской;А-Петит;кафе;37.5992200000000000;55.7737020000000000;4;8;26,73844691;28,23021928
Тверской;Чайхона №1;ресторан;37.5993527467662360;55.7817897326965590;4,3;456;46,12895088;69,90925528
Тверской;Батони;кафе;37.5993872375970430;55.7823077031700480;4,4;282;45,08713993;67,66992844
Тверской;MEATSTREET;кафе;37.5994239999999920;55.7823037650582170;4,3;79;38,59085757;53,70645503
Тверской;HAPPY END BAR END KITCHEN;ресторан;37.5995213639533000;55.7646501390427000;4,4;139;41,97443412;60,97930412
Тверской;Фрау Бротхен;кафе;37.5995709999999970;55.7784607639400530;5;107;46,3899951;70,47035836
Тверской;Пан Запекан;магазин (отдел кулинарии);37.5995739999999970;55.7813857647910680;4,2;171;40,93670172;58,74874393
Тверской;Макдоналдс;предприятие быстрого обслуживания;37.5995739999999970;55.7813857647910680;4,1;120;38,50991391;53,53247019
Тверской;Camera Obscura coffee;кафетерий;37.5995739999999970;55.7813857647910680;4,8;22;36,94182067;50,1619227
Тверской;Биркрафт;бар;37.5996309999999810;55.7823477650710160;4,4;31;35,37229252;46,78829092
Тверской;ТАН;ресторан;37.5996759512215000;55.7717741261563000;4,3;175;42,01081149;61,05749566
Тверской;MD Mendeleev coffee;кафетерий;37.5998299999999970;55.7684897610406410;4,6;353;48,16953592;74,29540313
Тверской;Leviathan;бар;37.5998590000000020;55.7810297646874820;4,7;58;40,72838202;58,3009699
Тверской;ДЖОН ДЖОЛИ;ресторан;37.5998758024263180;55.7810998608067340;4,5;554;49,15050693;76,4039572
Тверской;Дымовуха;бар;37.5998759999999950;55.7827307651825000;4,8;73;42,69902221;62,53677436
Тверской;FRANKIE;кафе;37.5998850000000080;55.7681067609293350;4,3;7;28,16964544;31,30651761
Тверской;KFC;предприятие быстрого обслуживания;37.6000257048832650;55.7799308206280740;4,3;612;47,39418061;72,62881098
Тверской;ONE and DOUBLE;кафетерий;37.6001309999999980;55.7785827639755420;4,1;32;33,09071496;41,88414025
Тверской;Наше;бар;37.6001750000000070;55.7672627606840190;4,4;68;38,82858272;54,2174348
Тверской;Примавера;кафе;37.6001810000000000;55.7827950000000000;4,5;172;43,88699098;65,09026102
Тверской;СОЛО;бар;37.6002399999999850;55.7829577652485400;4,3;147;41,26109192;59,44600641
Тверской;Кулинарная лавка братьев Караваевых;магазин (отдел кулинарии);37.6002460813935430;55.7789213558156480;4,4;183;43,18448789;63,58026151
Тверской;Рынок и общепит ШУК;кафе;37.6002854363158720;55.7789325763904100;4,5;793;50,76447033;79,8731006
Тверской;ПРАЙМ;кафе;37.6003085960243690;55.7804138028068480;4,2;30;33,62674378;43,03631064
Тверской;Шоколадница;кафе;37.6003085960243690;55.7804138028068480;4,2;270;42,85508701;62,87222879
Тверской;Пороселло;кафе;37.6003440000000000;55.7820017649703460;4,4;265;44,81356005;67,08188051
Тверской;Хинкальная Зандукели;кафе;37.6004410000000000;55.7733320000000000;4,4;33;35,64738209;47,37958387
Тверской;Guilty Pleasure;ресторан;37.6004479999999930;55.7720997620900720;4,4;13;31,54852599;38,56927284
Тверской;Coffee Mouse;кафетерий;37.6004479999999930;55.7720997620900720;4,3;13;30,83151404;37,02808716
Тверской;SEMENOV;бар;37.6004499999999880;55.7789467640814250;4,5;69;39,77674511;56,25546817
Тверской;Теремок;предприятие быстрого обслуживания;37.6005341530053000;55.7794263134560000;4,3;78;38,53607975;53,58871253
Тверской;Pho Ly Quoc Su;кафе;37.6006019999999810;55.7818057649132870;4,7;44;39,42999115;55,51013579
Тверской;Мята Lounge;кафе;37.6006019999999810;55.7818057649132870;5;196;49,41642423;76,97553474
Тверской;Станция «Пельменная»;кафе;37.6006019999999810;55.7818057649132870;4,8;18;35,97860133;48,09152507
Тверской;КабКао;кафе;37.6006120000000050;55.7825567651318370;4,3;36;35,21136324;46,4423805
Тверской;Порто Миконос;кафе;37.6006217219161980;55.7832938424526720;4,3;298;44,29973379;65,97743355
Тверской;Траттория Семпличе;кафе;37.6006323344795210;55.7786413941842060;4,4;105;40,74017436;58,326317
Тверской;Кофе Бин;кафе;37.6006323344795210;55.7786413941842060;4,3;108;39,93539608;56,59648146
Тверской;Мясо и рыба;ресторан;37.6006763323983010;55.7668316563339840;4,7;577;51,52615853;81,51031589
Тверской;Сон Менделеева;бар;37.6006860000000030;55.7824577651030470;4,4;159;42,56592731;62,25069272
Тверской;ТехникаБезОпасности;ресторан;37.6006860000000030;55.7824577651030470;4,5;236;45,31050896;68,15005035
Тверской;SeDelice Французская пекарня;кафетерий;37.6007310000000170;55.7790147641012340;3,4;17;25,290504;25,11792964
Тверской;Коптильня;ресторан;37.6008459999999900;55.7821647650177610;4,3;697;47,95340907;73,83084796
Тверской;КОФЕПОРТ;кафе;37.6008479999999990;55.7677787608339910;4,3;19;32,46331941;40,53558109
Тверской;NOOR Bar;бар;37.6009216532990000;55.7668872021784000;4,7;501;50,86234855;80,08348552
Тверской;Молодежь;кафе;37.6009239999999920;55.7823537650727770;4,4;701;49,09378352;76,28203273
Тверской;Барное объединение ПРОФСОЮЗ;бар;37.6009239999999920;55.7823537650727770;4,6;632;50,84867407;80,05409283
Тверской;Кофемания;кафе;37.6009962016897390;55.7675794551319580;4,3;92;39,24592268;55,1144887
Тверской;Домино'с Пицца;кафе;37.6010262153453920;55.7858809864054950;4;95;36,63618831;49,50497938
Тверской;CHEHONTE;ресторан;37.6010880666910130;55.7676673404219870;4,2;5;26,10135401;26,8608161
Тверской;РУКИ ВВЕРХ;бар;37.6010880666910130;55.7676673404219870;4,7;1071;54,43313581;87,75873578
Тверской;Кулинарная лавка братьев Караваевых;магазин (отдел кулинарии);37.6011876700197120;55.7833585680341880;4,4;183;43,18448789;63,58026151
Тверской;Ландринъ;кафе;37.6012591885289000;55.7803921732482000;4,4;70;38,95612788;54,49158752
Тверской;Брусника;магазин (отдел кулинарии);37.6013350000000060;55.7711227618060330;4,5;217;44,93280393;67,33818998
Тверской;Фудхолл Дружба;предприятие быстрого обслуживания;37.6013670000000030;55.7800307643968130;4,6;87;41,7269602;60,4473698
Тверской;Настоишная;кафе;37.6014954312423000;55.7819195988480000;4,7;116;43,98617377;65,30345007
Тверской;Типси паб;кафе;37.6015910000000000;55.7805520000000000;4,7;542;51,23205008;80,87814272
Тверской;SeDelice Французская пекарня;кафе;37.6016279999999910;55.7661077603483760;4,3;68;37,94611493;52,32060907
Тверской;SeDelice;кафе;37.6016289999999960;55.7809037646508160;4,2;5;26,10135401;26,8608161
Тверской;Суши Wok;закусочная;37.6016290000000030;55.7809047646511190;3,4;116;31,81978528;39,15233277
Тверской;ДРУЖБА;ресторан;37.6018290000000090;55.7800257643953690;4,4;177;43,03780764;63,26497876
Тверской;Милти;магазин (отдел кулинарии);37.6018290000000090;55.7800257643953690;4,2;4;25,1641511;24,84633962
Тверской;Пять вкусов;кафе;37.6019640000000020;55.7648507599831120;4,4;17;32,72888753;41,10640809
Тверской;Mike's coffee;кафе;37.6019640000000020;55.7648507599831120;3,8;2;20,13360599;14,03340403
Тверской;Палаш;кафетерий;37.6019640000000020;55.7648507599831120;4,2;3;23,95588639;22,24922775
Тверской;GINA CAFE;кафе;37.6020639999999990;55.7653887601394520;4,3;10;29,7033477;34,60314321
Тверской;Starbucks;кафе;37.6021263975025000;55.7795195341481000;4,2;119;39,41403345;55,47583541
Тверской;The LOFT cafe and Lobby bar;бар;37.6023970000000180;55.7699767614728760;4,2;12;29,77832271;34,7642987
Тверской;BOWLROOM;кафе;37.6025330000000010;55.7641227597715880;4,4;104;40,69806877;58,2358129
Тверской;Cofix;кафетерий;37.6025330000000010;55.7641227597715880;4,3;69;38,00888977;52,45554083
Тверской;Чебуречная СССР;кафе;37.6025645395634670;55.7641349597743460;4,7;517;51,01010138;80,40107375
Тверской;One Double Cofe;кафе;37.6025645395634670;55.7641349597743460;4,1;32;33,09071496;41,88414025
Тверской;Я дома;кафе;37.6025690000000100;55.7650907600528500;4,2;52;35,9369384;48,00197243
Тверской;Cofix;кафетерий;37.6025799999999960;55.7776407637015050;4,3;24;33,46786327;42,69480396
Тверской;CRAFTER;бар;37.6026239999999920;55.7652727601057450;4,6;210;45,7804775;69,16022706
Тверской;Штолле;предприятие быстрого обслуживания;37.6026349999999850;55.7666037604925150;4,2;13;30,11450208;35,48690148
Тверской;Borrachitos;бар;37.6026649999999950;55.7675507607677190;4,6;89;41,83151016;60,67209533
Тверской;Прайм;кафе;37.6027682233960120;55.7658111367680930;4,2;30;33,62674378;43,03631064
Тверской;СINNABON;кафе;37.6027682233960120;55.7658111367680930;4,2;42;35,03992718;46,07388623
Тверской;Шоколадница;кафе;37.6027700000000000;55.7658287602673040;4,2;270;42,85508701;62,87222879
Тверской;МАКДОНАЛДС;предприятие быстрого обслуживания;37.6029091881872000;55.7646312620702000;4,5;2082;55,10814496;89,20963829
Тверской;Якитория;кафе;37.6031059999999970;55.7768477634708400;4,4;230;44,19029778;65,74220565
Тверской;EVERYTHINGS WAFFLE;кафе;37.6031059999999970;55.7768477634708400;4,4;35;35,90628029;47,93607417
Тверской;SleepTom;кафе;37.6031215333166740;55.7700536747781680;4,3;21;32,89367828;41,46061857
Тверской;Ламбик;кафе;37.6031460195955920;55.7752563734002250;4,6;354;48,18254866;74,32337344
Тверской;Starbucks;кафе;37.6034097860132090;55.7738770718107090;4,2;82;37,84993562;52,11387587
Тверской;Правда кофе;кафе;37.6036310000000000;55.7760410000000000;4,1;5;25,4798932;25,5250134
Тверской;Surf Coffeе;кафетерий;37.6036840000000010;55.7732927624369670;4,4;32;35,51198679;47,08855762
Тверской;Грабли;ресторан;37.6038600000000000;55.7662289990000000;4,3;735;48,18167495;74,32149544
Тверской;ГлавПивМаг;бар;37.6040302340512940;55.7659126194048800;4,3;100;39,6044636;55,88515665
Тверской;EAT MARKET;ресторан;37.6040302340512940;55.7659126194048800;4,3;54;36,9548632;50,18995705
Тверской;Subway;кафе;37.6041225412427020;55.7797377493588510;4,1;39;33,90180051;43,62753299
Тверской;То Да Сё;кафе;37.6042410000000000;55.7661470000000000;4,1;924;46,87891726;71,52127504
Тверской;ВОЛНА;ресторан;37.6045134373251390;55.7629981442020290;4,5;155;43,41867886;64,08364471
Тверской;Ленский;ресторан;37.6045384210679640;55.7674030765404610;4,1;18;30,73172197;36,8135885
Тверской;Сэлэнгэ;ресторан;37.6047791210449000;55.7703379204818000;4,4;288;45,17977493;67,8690433
Тверской;Диско 90-х;ресторан;37.6048052778212000;55.7669289097129000;4,2;438;44,8870342;67,23980997
Тверской;Look in Rooms;кафе;37.6048688476489590;55.7660231116657390;4,3;453;46,10056794;69,8482474
Тверской;FARШ;кафе;37.6049430000000060;55.7660707603376340;4,3;84;38,85474403;54,27366739
Тверской;Кузина;кафетерий;37.6049430000000060;55.7660707603376340;4,2;13;30,11450208;35,48690148
